complexity	loss	equation	score	julia_expression	lambda_format
3	13606.052829488575	p = 0.493897004113109; a = 3.954425674128202; vbl = 251.23229000073997	0.0	p = 0.493897004113109; a = 3.954425674128202; vbl = 251.23229000073997	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB49548350>
4	11488.363249454313	p = 0.13037927930371682; a = 90.39852398830742; vbl = log1p(#1)	0.1691801230138235	p = 0.13037927930371682; a = 90.39852398830742; vbl = log1p(#1)	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB49548410>
5	4503.632166872605	p = 0.34997385985201435; a = #1; vbl = #1 * 17.350828799404503	0.9364504123084633	p = 0.34997385985201435; a = #1; vbl = #1 * 17.350828799404503	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4954AC90>
6	2100.256622399167	p = 1.5200849771228435; a = 1.1989587538227058; vbl = log1p(#1) * 204.34565749208582	0.7628246809953728	p = 1.5200849771228435; a = 1.1989587538227058; vbl = log1p(#1) * 204.34565749208582	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB49548320>
7	487.2877912269298	p = 1.7121330787679883; a = 1.127291934987097; vbl = (#1 * 20.83296439535447) + 275.00113384490163	1.4609599217680143	p = 1.7121330787679883; a = 1.127291934987097; vbl = (#1 * 20.83296439535447) + 275.00113384490163	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB49548230>
9	203.30348596969043	p = 1.6008791747417752; a = #1 ^ 0.07831768870647768; vbl = (#1 * 20.834204424441975) + 274.9678693890422	0.43707751410425627	p = 1.6008791747417752; a = #1 ^ 0.07831768870647768; vbl = (#1 * 20.834204424441975) + 274.9678693890422	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB495493A0>
11	197.134101388112	p = 1.6072257426639884; a = square(log2(#1) ^ 0.07475989383635141); vbl = (#1 * 20.840040228409112) + 274.87709922347386	0.015407826275282347	p = 1.6072257426639884; a = square(log2(#1) ^ 0.07475989383635141); vbl = (#1 * 20.840040228409112) + 274.87709922347386	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4954A330>
13	189.5676104478284	p = 1.607747486875357; a = square(log2(#1 + -0.44940494620682375) ^ 0.07677790911885617); vbl = (#1 * 20.833245538675808) + 274.9995139117391	0.019569235302326186	p = 1.607747486875357; a = square(log2(#1 + -0.44940494620682375) ^ 0.07677790911885617); vbl = (#1 * 20.833245538675808) + 274.9995139117391	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4954A1E0>
15	186.6338744309913	p = 1.6041591548186669; a = inv((#1 + log2(#1 + -3.08431379594938)) ^ -0.07141139390352824); vbl = (#1 * 20.83296439535447) + 275.00113384490163	0.007798468659283591	p = 1.6041591548186669; a = inv((#1 + log2(#1 + -3.08431379594938)) ^ -0.07141139390352824); vbl = (#1 * 20.83296439535447) + 275.00113384490163	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4954A840>
20	185.86226610201348	p = 1.6041591548186669; a = inv((log2((#1 + -2.750692961679953) + (-0.20797240302951064 * sqrt(#1))) + #1) ^ -0.07141139390352824); vbl = 275.00113384490163 + (20.83296439535447 * #1)	0.0008285824723045001	p = 1.6041591548186669; a = inv((log2((#1 + -2.750692961679953) + (-0.20797240302951064 * sqrt(#1))) + #1) ^ -0.07141139390352824); vbl = 275.00113384490163 + (20.83296439535447 * #1)	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4954A240>
