complexity	loss	equation	score	julia_expression	lambda_format
3	16103.445916286511	p = 0.3813890510457178; a = 8.449886143608342; vbl = 228.36977046289806	0.0	p = 0.3813890510457178; a = 8.449886143608342; vbl = 228.36977046289806	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900CBF0>
4	13196.811989899714	p = 0.10891019852897636; a = 712.8307897064838; vbl = log1p(#1)	0.19905799665033624	p = 0.10891019852897636; a = 712.8307897064838; vbl = log1p(#1)	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900C980>
5	5303.082304405452	p = 0.3580700141729026; a = #1; vbl = #1 * 18.781818229841775	0.911687066123416	p = 0.3580700141729026; a = #1; vbl = #1 * 18.781818229841775	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900FF50>
6	3720.83347542776	p = 1.3911185913099726; a = 1.2726753788888645; vbl = log1p(#1) * 204.3455614829914	0.35434052265917654	p = 1.3911185913099726; a = 1.2726753788888645; vbl = log1p(#1) * 204.3455614829914	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900F470>
7	1613.997344218869	p = 1.5868918095356594; a = 1.1838638284264147; vbl = (#1 + 13.389212119110685) / 0.048307876841166095	0.8352337713423601	p = 1.5868918095356594; a = 1.1838638284264147; vbl = (#1 + 13.389212119110685) / 0.048307876841166095	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900F110>
9	1484.4971504724294	p = 1.4716183740781843; a = #1 ^ 0.09862155442612726; vbl = (#1 + 12.957462978465221) / 0.04762822572258125	0.041818914340635706	p = 1.4716183740781843; a = #1 ^ 0.09862155442612726; vbl = (#1 + 12.957462978465221) / 0.04762822572258125	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900D430>
10	1452.324084911078	p = 1.4716183740781843; a = log2(#1) ^ 0.18645530199150065; vbl = (#1 + 12.957462978465221) / 0.04762822572258125	0.021911005227756616	p = 1.4716183740781843; a = log2(#1) ^ 0.18645530199150065; vbl = (#1 + 12.957462978465221) / 0.04762822572258125	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900D880>
11	1439.4275883143684	p = 1.4635620020250875; a = square(log2(#1)) ^ 0.09862155442612726; vbl = (#1 + 12.957462978465221) / 0.04762822572258125	0.008919564026397432	p = 1.4635620020250875; a = square(log2(#1)) ^ 0.09862155442612726; vbl = (#1 + 12.957462978465221) / 0.04762822572258125	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900C5F0>
12	1408.2398016479997	p = 1.4716183740781843; a = log1p(cube(log2(#1))) ^ 0.18645530199150065; vbl = (#1 + 12.957462978465221) / 0.04762822572258125	0.02190496954101484	p = 1.4716183740781843; a = log1p(cube(log2(#1))) ^ 0.18645530199150065; vbl = (#1 + 12.957462978465221) / 0.04762822572258125	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900D250>
