complexity	loss	equation	score	julia_expression	lambda_format
3	16352.240171558557	p = 0.20252441050799325; a = 9.98648913937025; vbl = #1	0.0	p = 0.20252441050799325; a = 9.98648913937025; vbl = #1	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB494E09E0>
4	10611.208745200898	p = 0.10969040331679537; a = 944.2863132962267; vbl = sqrt(#1)	0.4324540302822008	p = 0.10969040331679537; a = 944.2863132962267; vbl = sqrt(#1)	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB48AD9B80>
5	5222.992781894717	p = 0.3529355869441591; a = #1; vbl = #1 * 18.065899407593818	0.7088403037578835	p = 0.3529355869441591; a = #1; vbl = #1 * 18.065899407593818	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB48AD91F0>
6	1781.112423158792	p = 1.4517998569186001; a = 1.2673858596962666; vbl = sqrt(#1) * 152.20518979154954	1.07583244153808	p = 1.4517998569186001; a = 1.2673858596962666; vbl = sqrt(#1) * 152.20518979154954	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB48AD8620>
7	1434.1834336486177	p = 1.5605645868498481; a = 1.198838040976907; vbl = (#1 * 20.83977045019187) + 274.8828696056518	0.21664247446623852	p = 1.5605645868498481; a = 1.198838040976907; vbl = (#1 * 20.83977045019187) + 274.8828696056518	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB48AD9940>
9	1426.6144324293298	p = 1.5251173275936643; a = 1.2315493207042072; vbl = ((#1 * 3.1276415701455744) + 41.280589529413575) * 6.6612912703676	0.0026457719960954686	p = 1.5251173275936643; a = 1.2315493207042072; vbl = ((#1 * 3.1276415701455744) + 41.280589529413575) * 6.6612912703676	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB48ADAF00>
