complexity	loss	equation	score	julia_expression	lambda_format
3	18743.051761158727	p = 0.2222418213243288; a = 41.59591522198634; vbl = 79.7532133816701	0.0	p = 0.2222418213243288; a = 41.59591522198634; vbl = 79.7532133816701	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4954B9B0>
4	12965.200616858883	p = 0.1281362942124924; a = 134.7053461810435; vbl = sqrt(#1)	0.3685542184021633	p = 0.1281362942124924; a = 134.7053461810435; vbl = sqrt(#1)	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4954B860>
5	5235.751201620416	p = 0.3565538595681621; a = #1; vbl = #1 * 18.592249251442198	0.9067585625575374	p = 0.3565538595681621; a = #1; vbl = #1 * 18.592249251442198	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4954B890>
6	2839.602771310701	p = 1.57894493551203; a = 1.1417164119740857; vbl = sqrt(#1) * 152.33867913273696	0.6118461569057707	p = 1.57894493551203; a = 1.1417164119740857; vbl = sqrt(#1) * 152.33867913273696	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4954B8C0>
7	1592.937899215317	p = 1.5897076420665368; a = 1.1660489616315415; vbl = (#1 * 20.829716280157456) + 275.0200476635551	0.5780841265090985	p = 1.5897076420665368; a = 1.1660489616315415; vbl = (#1 * 20.829716280157456) + 275.0200476635551	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB495495B0>
18	1587.5190110987735	p = 1.6037580091273924; a = 1.158877588287653; vbl = ((#1 + #1) + 21.706209252258738) * ((log10(#1 + (#1 + #1)) * -1.259507712013338) + 13.445869263285822)	0.00030978358330087407	p = 1.6037580091273924; a = 1.158877588287653; vbl = ((#1 + #1) + 21.706209252258738) * ((log10(#1 + (#1 + #1)) * -1.259507712013338) + 13.445869263285822)	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB495494F0>
20	1585.435758628663	p = 1.6005793099229504; a = 1.1600920424823513; vbl = (#1 + (#1 + 21.655132642010287)) * ((log10((#1 + #1) + (#1 + 1.586934178158562)) * -1.3526757255428672) + 13.632857187675109)	0.00065656554241954	p = 1.6005793099229504; a = 1.1600920424823513; vbl = (#1 + (#1 + 21.655132642010287)) * ((log10((#1 + #1) + (#1 + 1.586934178158562)) * -1.3526757255428672) + 13.632857187675109)	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB495498B0>
