complexity	loss	equation	score	julia_expression	lambda_format
3	18403.55408815178	p = 0.22625138249864327; a = 41.12099330113961; vbl = 87.09701082572549	0.0	p = 0.22625138249864327; a = 41.12099330113961; vbl = 87.09701082572549	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900C890>
4	12436.453192198062	p = 0.11077150966039291; a = 560.7557163083587; vbl = log1p(#1)	0.3919118694361173	p = 0.11077150966039291; a = 560.7557163083587; vbl = log1p(#1)	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900CBF0>
5	9265.197707183495	p = 0.16216512531267582; a = 221.18310681944402; vbl = #1 + 26.316852027318888	0.29436673483599457	p = 0.16216512531267582; a = 221.18310681944402; vbl = #1 + 26.316852027318888	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900DA90>
6	3799.2168641744	p = 1.3306119842747743; a = 1.2630358336240857; vbl = square(#1) + 325.9999649497149	0.8914702415371392	p = 1.3306119842747743; a = 1.2630358336240857; vbl = square(#1) + 325.9999649497149	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900D9D0>
7	1642.5210348949226	p = 1.5729087861879618; a = 1.1851173332942841; vbl = (#1 / 0.04802018931793372) + 275.0425551150625	0.8385626791902966	p = 1.5729087861879618; a = 1.1851173332942841; vbl = (#1 / 0.04802018931793372) + 275.0425551150625	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900E960>
9	1546.8329379673698	p = 1.4940632035957044; a = #1 ^ 0.09139616752493382; vbl = (#1 / 0.04666991664171184) + 264.29945874980416	0.030011351569796393	p = 1.4940632035957044; a = #1 ^ 0.09139616752493382; vbl = (#1 / 0.04666991664171184) + 264.29945874980416	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900DF70>
10	1519.153555523175	p = 1.4590646619571386; a = log2(#1) ^ 0.1902915349730452; vbl = (#1 / 0.04745974535051601) + 270.72545644280984	0.018056266406759065	p = 1.4590646619571386; a = log2(#1) ^ 0.1902915349730452; vbl = (#1 / 0.04745974535051601) + 270.72545644280984	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900DC70>
12	1467.3748932676467	p = 1.4590646619571386; a = log2(#1 * 1.1525430560494683) ^ 0.1902915349730452; vbl = 270.72545644280984 + (#1 / 0.04745974535051601)	0.01733914545089517	p = 1.4590646619571386; a = log2(#1 * 1.1525430560494683) ^ 0.1902915349730452; vbl = 270.72545644280984 + (#1 / 0.04745974535051601)	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900C980>
13	1460.9076736613465	p = 1.4590646619571386; a = log1p(log2(#1) * #1) ^ 0.1902915349730452; vbl = (#1 / 0.04745974535051601) + 270.72545644280984	0.004417080642613365	p = 1.4590646619571386; a = log1p(log2(#1) * #1) ^ 0.1902915349730452; vbl = (#1 / 0.04745974535051601) + 270.72545644280984	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900CCB0>
15	1458.205194681876	p = 1.4590646619571386; a = log(log2(#1 * 1.1525430560494683) * #1) ^ 0.1902915349730452; vbl = (#1 / 0.04745974535051601) + 270.72545644280984	0.0009257880299392425	p = 1.4590646619571386; a = log(log2(#1 * 1.1525430560494683) * #1) ^ 0.1902915349730452; vbl = (#1 / 0.04745974535051601) + 270.72545644280984	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900FAA0>
16	1441.1395675533054	p = 1.4730323972990664; a = log1p(log2(#1) * (log(#1) * 2.032124578182765)) ^ 0.22702314841372914; vbl = (#1 / 0.04745974535051601) + 270.72545644280984	0.011772193798005464	p = 1.4730323972990664; a = log1p(log2(#1) * (log(#1) * 2.032124578182765)) ^ 0.22702314841372914; vbl = (#1 / 0.04745974535051601) + 270.72545644280984	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900F830>
17	1438.1396303586348	p = 1.5036346887856784; a = square((log2(log1p(log2(#1) * #1)) + 0.5865722384401398) ^ 0.12327789484444653); vbl = (#1 / 0.047472604477755746) + 270.8227568521534	0.0020838120057210894	p = 1.5036346887856784; a = square((log2(log1p(log2(#1) * #1)) + 0.5865722384401398) ^ 0.12327789484444653); vbl = (#1 / 0.047472604477755746) + 270.8227568521534	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900E450>
