complexity	loss	equation	score	julia_expression	lambda_format
3	18272.00937096315	p = 0.23975868733036193; a = 4.0573992938576975; vbl = #1	0.0	p = 0.23975868733036193; a = 4.0573992938576975; vbl = #1	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB48F8D850>
4	12557.753346080372	p = 0.12772910212413063; a = 139.18099653163358; vbl = sqrt(#1)	0.3750320750121348	p = 0.12772910212413063; a = 139.18099653163358; vbl = sqrt(#1)	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB492EDC10>
5	5174.385521191637	p = 0.35683575631662456; a = #1; vbl = #1 * 18.692052703588715	0.8866176790855788	p = 0.35683575631662456; a = #1; vbl = #1 * 18.692052703588715	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB48F3CE00>
6	3826.230565681648	p = 1.3116431100476607; a = 1.2675571140032211; vbl = square(#1) + 325.9986281732237	0.30184046017803173	p = 1.3116431100476607; a = 1.2675571140032211; vbl = square(#1) + 325.9986281732237	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB48F3DCD0>
7	1566.9697743829977	p = 1.5725977619037539; a = 1.1737692967888946; vbl = (#1 + 13.1813769910291) * 20.845768266520988	0.8927364577120768	p = 1.5725977619037539; a = 1.1737692967888946; vbl = (#1 + 13.1813769910291) * 20.845768266520988	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB48F3FCE0>
15	1501.1322065558866	p = (#1 + -1.8794599788193975) * (1.5409724184687126 / (#1 + -1.6629993594920005)); a = 1.2259290538825467; vbl = (#1 + 12.808488439502135) * 21.096397567852364	0.0053655058234547345	p = (#1 + -1.8794599788193975) * (1.5409724184687126 / (#1 + -1.6629993594920005)); a = 1.2259290538825467; vbl = (#1 + 12.808488439502135) * 21.096397567852364	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB48ACB0B0>
17	1434.102024557543	p = 1.450369437881517; a = log1p(log1p(log2(square(square(log1p(cube(#1))))))); vbl = (log1p(square(log2(#1))) ^ 5.352105845313023) + 344.7782046026802	0.022840370639135087	p = 1.450369437881517; a = log1p(log1p(log2(square(square(log1p(cube(#1))))))); vbl = (log1p(square(log2(#1))) ^ 5.352105845313023) + 344.7782046026802	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB48ACA7E0>
18	1374.258267548734	p = 1.4723130047395494; a = log1p(log2(log(square(log(square(square(square(#1)))))))); vbl = (log1p(log2(square(#1))) ^ 7.2116734511293235) + 319.9057069336501	0.04262474269419943	p = 1.4723130047395494; a = log1p(log2(log(square(log(square(square(square(#1)))))))); vbl = (log1p(log2(square(#1))) ^ 7.2116734511293235) + 319.9057069336501	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB494E11C0>
19	1323.4237124148806	p = 1.4747945464039875; a = sqrt(log2(log1p(square(log(square(log(square(square(#1))))))))); vbl = (log1p(log2(square(#1))) ^ 7.2145596185511485) + 319.36996912283695	0.037692043550669296	p = 1.4747945464039875; a = sqrt(log2(log1p(square(log(square(log(square(square(#1))))))))); vbl = (log1p(log2(square(#1))) ^ 7.2145596185511485) + 319.36996912283695	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB494E09E0>
