complexity	loss	equation	score	julia_expression	lambda_format
3	17504.02937537975	p = 0.2671478110925937; a = 22.309995444583944; vbl = 124.27507958838959	0.0	p = 0.2671478110925937; a = 22.309995444583944; vbl = 124.27507958838959	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900E2A0>
4	12592.111775352954	p = 0.11385351268587446; a = 396.1225478426001; vbl = log1p(#1)	0.32936053611629484	p = 0.11385351268587446; a = 396.1225478426001; vbl = log1p(#1)	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900FBF0>
5	5212.34220177534	p = 0.3574434565254863; a = #1; vbl = #1 * 18.659416529152157	0.8820412547054254	p = 0.3574434565254863; a = #1; vbl = #1 * 18.659416529152157	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900F650>
6	2763.4376128336767	p = 1.641609518341097; a = 1.1119743087406957; vbl = sqrt(#1) * 152.3389034160378	0.6345538970071504	p = 1.641609518341097; a = 1.1119743087406957; vbl = sqrt(#1) * 152.3389034160378	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900E450>
7	1558.3124880766873	p = 1.6225829299116061; a = 1.1476728644722611; vbl = (#1 + 13.162186252909542) * 20.858496413691576	0.5728719192710378	p = 1.6225829299116061; a = 1.1476728644722611; vbl = (#1 + 13.162186252909542) * 20.858496413691576	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900D910>
9	1459.5209331314752	p = 1.5337089448595322; a = #1 ^ 0.07982204182064179; vbl = (#1 + 12.696981118708871) * 21.17466689316614	0.03274762173272788	p = 1.5337089448595322; a = #1 ^ 0.07982204182064179; vbl = (#1 + 12.696981118708871) * 21.17466689316614	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900F440>
10	1422.4092597843398	p = 1.524873175567922; a = log2(#1) ^ 0.16267450132293457; vbl = (#1 + 12.934711017028533) * 21.011972023112172	0.025756158153905313	p = 1.524873175567922; a = log2(#1) ^ 0.16267450132293457; vbl = (#1 + 12.934711017028533) * 21.011972023112172	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900F830>
12	1408.4718143693844	p = 1.5132162289735547; a = (log2(#1) + 0.33771966712057094) ^ 0.15528065101171998; vbl = (#1 + 12.856241892071575) * 21.065397555626284	0.004923399345856919	p = 1.5132162289735547; a = (log2(#1) + 0.33771966712057094) ^ 0.15528065101171998; vbl = (#1 + 12.856241892071575) * 21.065397555626284	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900CB90>
14	1406.3496434251904	p = 1.5213259307462934; a = log2(#1 + log2(log2(#1))) ^ 0.15613350313220625; vbl = (#1 + 12.934711017028533) * 21.011972023112172	0.0007539275147995284	p = 1.5213259307462934; a = log2(#1 + log2(log2(#1))) ^ 0.15613350313220625; vbl = (#1 + 12.934711017028533) * 21.011972023112172	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB495485F0>
15	1314.4336391547065	p = inv(#1) + 1.449783155890056; a = log2(#1 + -1.2838493896400536) ^ 0.16762051591362806; vbl = (#1 + 13.181926250557474) * 20.845338197804146	0.06759156181012987	p = inv(#1) + 1.449783155890056; a = log2(#1 + -1.2838493896400536) ^ 0.16762051591362806; vbl = (#1 + 13.181926250557474) * 20.845338197804146	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB495493A0>
18	1311.1041046582577	p = inv(#1) + 1.4327690543480531; a = log2(log1p(-2.8425964759942293 / #1) + #1) ^ 0.1687084412187915; vbl = (#1 + 13.201879097525055) * 20.829074489259284	0.0008454233268618787	p = inv(#1) + 1.4327690543480531; a = log2(log1p(-2.8425964759942293 / #1) + #1) ^ 0.1687084412187915; vbl = (#1 + 13.201879097525055) * 20.829074489259284	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB495485C0>
