complexity	loss	equation	score	sympy_format	lambda_format
1	77593.9186475316	419.8300479911756	0.0	419.8300479911756	PySRFunction(X=>419.8300479911756)
3	24869.70063407955	x0 + -271.45852343428567	0.5689194178308079	x0 - 271.45852343428567	PySRFunction(X=>x0 - 271.45852343428567)
4	20178.870057926084	cube(x0) * 1.0290161084996815e-6	0.20901420031987092	1.0290161084996815e-6*x0**3	PySRFunction(X=>1.0290161084996815e-6*x0**3)
5	15954.09662830852	(x1 * -24.802139099199415) + x0	0.23492038203973808	x0 - 24.802139099199415*x1	PySRFunction(X=>x0 - 24.802139099199415*x1)
7	13298.151752063866	(x1 * -34.93146402961026) + (x0 ^ 1.025021160697961)	0.09104528929601911	x0**1.025021160697961 - 34.93146402961026*x1	PySRFunction(X=>x0**1.025021160697961 - 34.93146402961026*x1)
8	5135.4732860830645	(x0 / 0.608381967723461) + (log1p(x1) * -303.6001649095024)	0.951453051764831	1.64370420731232*x0 - 303.6001649095024*log(x1 + 1)	PySRFunction(X=>1.64370420731232*x0 - 303.6001649095024*log(x1 + 1))
9	3722.314206970442	((x1 * -28.501087007021095) + (x0 / 0.5971917028298492)) + -436.43834583852043	0.3218264342860966	1.674504175562731*x0 - 28.501087007021095*x1 - 436.43834583852043	PySRFunction(X=>1.674504175562731*x0 - 28.501087007021095*x1 - 436.43834583852043)
10	1967.1661028509764	log(x0 + ((-19.76134489018952 * x1) + -279.9534151335569)) ^ 3.6938231821718426	0.6377515929041148	log(x0 - 19.76134489018952*x1 - 279.9534151335569)**3.6938231821718426	PySRFunction(X=>log(x0 - 19.76134489018952*x1 - 279.9534151335569)**3.6938231821718426)
12	1902.8204916903385	(log1p(-278.3221906584615 + ((x1 * -20.279618238554917) + x0)) ^ 3.6884211042006627) + x1	0.016628362929011733	x1 + log(x0 - 20.279618238554917*x1 - 277.3221906584615)**3.6884211042006627	PySRFunction(X=>x1 + log(x0 - 20.279618238554917*x1 - 277.3221906584615)**3.6884211042006627)
13	1563.9042934410863	((x1 + 71.97185596623943) * cube(log10((x1 * -26.377829507006155) + x0))) + -1007.957321636592	0.19615180794900317	(x1 + 71.97185596623943)*log10(x0 - 26.377829507006155*x1)**3 - 1007.957321636592	PySRFunction(X=>(x1 + 71.97185596623943)*log10(x0 - 26.377829507006155*x1)**3 - 1007.957321636592)
14	1519.1630909101002	(log1p((x1 * -22.433155523316994) + (-231.76465944047516 + x0)) ^ 3.7313563754588155) + (-585.4536221171875 / x1)	0.029025861660796518	log(x0 - 22.433155523316994*x1 - 230.76465944047516)**3.7313563754588155 - 585.4536221171875/x1	PySRFunction(X=>log(x0 - 22.433155523316994*x1 - 230.76465944047516)**3.7313563754588155 - 585.4536221171875/x1)
