complexity	loss	equation	score	sympy_format	lambda_format
1	78095.50558448269	427.62342823381397	0.0	427.62342823381397	PySRFunction(X=>427.62342823381397)
3	22186.934401315702	x0 + -258.07371462266934	0.6292144665585422	x0 - 258.07371462266934	PySRFunction(X=>x0 - 258.07371462266934)
4	16907.969629527608	square(x0) * 0.0008950402600049134	0.2717184886551879	0.0008950402600049134*x0**2	PySRFunction(X=>0.0008950402600049134*x0**2)
5	15546.268394445013	(x1 * -25.12772685267552) + x0	0.08396445129087708	x0 - 25.12772685267552*x1	PySRFunction(X=>x0 - 25.12772685267552*x1)
6	14936.981586693291	(square(x0) * 0.0010651448755987878) + -103.85584224724673	0.039980511596818355	0.0010651448755987878*x0**2 - 103.85584224724673	PySRFunction(X=>0.0010651448755987878*x0**2 - 103.85584224724673)
7	5722.996397110461	x0 + ((x1 * -18018.731480121824) / x0)	0.959347609714989	x0 - 18018.731480121824*x1/x0	PySRFunction(X=>x0 - 18018.731480121824*x1/x0)
8	3197.104037695928	x0 + (x1 * (-1.1213412901134443e7 / square(x0)))	0.5822471020445662	x0 - 11213412.901134443*x1/x0**2	PySRFunction(X=>x0 - 11213412.901134443*x1/x0**2)
10	2809.2827053010683	((square(x1) * -1.4621315692652066) + (x0 * 1.66621745895179)) + -545.2898606302435	0.06465811304700377	1.66621745895179*x0 - 1.4621315692652066*x1**2 - 545.2898606302435	PySRFunction(X=>1.66621745895179*x0 - 1.4621315692652066*x1**2 - 545.2898606302435)
11	1854.8389185876515	(((x1 * -20.632933076088825) + (x0 + -276.2018692228573)) ^ 0.6837562057574527) * 12.438328800753416	0.4151313297945645	12.438328800753416*(x0 - 20.632933076088825*x1 - 276.2018692228573)**0.6837562057574527	PySRFunction(X=>12.438328800753416*(x0 - 20.632933076088825*x1 - 276.2018692228573)**0.6837562057574527)
12	1534.243588268637	(square(x1 / x0) * -713887.8636225654) + ((x0 * 1.2970634215627956) + -279.12552470516715)	0.18976037273525734	1.2970634215627956*x0 - 279.12552470516715 - 713887.8636225654*x1**2/x0**2	PySRFunction(X=>1.2970634215627956*x0 - 279.12552470516715 - 713887.8636225654*x1**2/x0**2)
13	1296.0518679827926	((square(x1 / x0) * -714026.7315717599) + -4905.043750744066) + (log(x0) * 848.8665124111161)	0.16871486449185763	848.8665124111161*log(x0) - 4905.043750744066 - 714026.7315717599*x1**2/x0**2	PySRFunction(X=>848.8665124111161*log(x0) - 4905.043750744066 - 714026.7315717599*x1**2/x0**2)
15	792.2841310314055	(((log10(log1p(x0)) ^ -27.04808602132378) * (x1 + 2.219194023866992)) / (x1 + -25.528366595892468)) + x0	0.24607890946109734	x0 + (x1 + 2.219194023866992)/((x1 - 25.528366595892468)*log10(log(x0 + 1))**27.04808602132378)	PySRFunction(X=>x0 + (x1 + 2.219194023866992)/((x1 - 25.528366595892468)*log10(log(x0 + 1))**27.04808602132378))
17	736.551791370165	x0 + (((log10(log1p(x0)) ^ -28.23546066120959) * (x1 + 3.2778640784751776)) * (0.6021127220738166 / (x1 + -23.573367227122517)))	0.03647026220673616	x0 + 0.6021127220738166*(x1 + 3.2778640784751776)/((x1 - 23.573367227122517)*log10(log(x0 + 1))**28.23546066120959)	PySRFunction(X=>x0 + 0.6021127220738166*(x1 + 3.2778640784751776)/((x1 - 23.573367227122517)*log10(log(x0 + 1))**28.23546066120959))
19	707.8448249029473	(((log10(log(x0)) ^ -31.27750068596598) * 0.29537686823009224) * ((x1 + 1.8530833738115857) / (x1 + -22.754386549847816))) + (x0 + -23.3097064069772)	0.01987732928082358	x0 - 23.3097064069772 + 0.29537686823009224*(x1 + 1.8530833738115857)/((x1 - 22.754386549847816)*log10(log(x0))**31.27750068596598)	PySRFunction(X=>x0 - 23.3097064069772 + 0.29537686823009224*(x1 + 1.8530833738115857)/((x1 - 22.754386549847816)*log10(log(x0))**31.27750068596598))
20	704.494395509728	((((log10(log1p(x0)) ^ -29.035178566860473) * (sqrt(x1 + -1.1516015510075053) / (x1 + -21.556147549306207))) * 1.8516915624962098) + -8.009530744926092) + x0	0.004744519772262249	x0 - 8.009530744926092 + 1.8516915624962098*sqrt(x1 - 1.1516015510075053)/((x1 - 21.556147549306207)*log10(log(x0 + 1))**29.035178566860473)	PySRFunction(X=>x0 - 8.009530744926092 + 1.8516915624962098*sqrt(x1 - 1.1516015510075053)/((x1 - 21.556147549306207)*log10(log(x0 + 1))**29.035178566860473))
21	700.5417979692554	((x0 + -25.3463542645909) + ((((x1 + 1.9169407017030244) * 0.4010289554488584) / (x1 + -23.05440307808041)) * (log10(log1p(x0)) ^ -30.145505492257346))) + x1	0.005626343272405322	x0 + x1 - 25.3463542645909 + 0.4010289554488584*(x1 + 1.9169407017030244)/((x1 - 23.05440307808041)*log10(log(x0 + 1))**30.145505492257346)	PySRFunction(X=>x0 + x1 - 25.3463542645909 + 0.4010289554488584*(x1 + 1.9169407017030244)/((x1 - 23.05440307808041)*log10(log(x0 + 1))**30.145505492257346))
22	583.0805311230009	(((((log10(x0) ^ x1) * -3.2739214313757364e-8) + -2.8605528573953087) * (log(log10(x0)) ^ -16.3170364416987)) * ((x1 * x1) + 29.41030742424827)) + x0	0.18352872366349912	x0 + (x1**2 + 29.41030742424827)*(-3.2739214313757364e-8*log10(x0)**x1 - 2.8605528573953087)/log(log10(x0))**16.3170364416987	PySRFunction(X=>x0 + (x1**2 + 29.41030742424827)*(-3.2739214313757364e-8*log10(x0)**x1 - 2.8605528573953087)/log(log10(x0))**16.3170364416987)
23	583.0805311230006	x0 + (((x1 * x1) + 29.41030742424827) * ((((log10(inv(x0)) ^ x1) * -3.2739214313757364e-8) + -2.8605528573953087) * (log(log10(x0)) ^ -16.3170364416987)))	5.551115123125785e-16	x0 + (x1**2 + 29.41030742424827)*(-3.2739214313757364e-8*log10(1/x0)**x1 - 2.8605528573953087)/log(log10(x0))**16.3170364416987	PySRFunction(X=>x0 + (x1**2 + 29.41030742424827)*(-3.2739214313757364e-8*log10(1/x0)**x1 - 2.8605528573953087)/log(log10(x0))**16.3170364416987)
24	579.7919826839584	x0 + ((((-2.8605528573953087 + ((log10(x0) ^ x1) * -3.2739214313757364e-8)) * (log(log10(x0)) ^ -16.3170364416987)) * (29.41030742424827 + (x1 * x1))) + -2.273578943948193)	0.005655920432479795	x0 + (x1**2 + 29.41030742424827)*(-3.2739214313757364e-8*log10(x0)**x1 - 2.8605528573953087)/log(log10(x0))**16.3170364416987 - 2.273578943948193	PySRFunction(X=>x0 + (x1**2 + 29.41030742424827)*(-3.2739214313757364e-8*log10(x0)**x1 - 2.8605528573953087)/log(log10(x0))**16.3170364416987 - 2.273578943948193)
25	579.6248715208217	x0 + ((((((log10(x0) ^ x1) * -3.2739214313757364e-8) + -2.8605528573953087) * (log(log10(x0)) ^ -16.3170364416987)) * (29.41030742424827 + (x1 * x1))) + inv(-0.520089627946343))	0.0002882676126155615	x0 + (x1**2 + 29.41030742424827)*(-3.2739214313757364e-8*log10(x0)**x1 - 2.8605528573953087)/log(log10(x0))**16.3170364416987 - 1.92274551590013	PySRFunction(X=>x0 + (x1**2 + 29.41030742424827)*(-3.2739214313757364e-8*log10(x0)**x1 - 2.8605528573953087)/log(log10(x0))**16.3170364416987 - 1.92274551590013)
26	424.750861322367	(x0 + ((((log(square(log10(x0))) ^ x1) * -6.740325966172598e-6) + -2.707046631319656) * (((x1 * (log(log10(x0)) ^ -23.42510337241947)) * x1) + 45.77102864891321))) * 1.0943163787706678	0.31087833266876935	1.0943163787706678*x0 + 1.0943163787706678*(x1**2/log(log10(x0))**23.42510337241947 + 45.77102864891321)*(-6.740325966172598e-6*log(log10(x0)**2)**x1 - 2.707046631319656)	PySRFunction(X=>1.0943163787706678*x0 + 1.0943163787706678*(x1**2/log(log10(x0))**23.42510337241947 + 45.77102864891321)*(-6.740325966172598e-6*log(log10(x0)**2)**x1 - 2.707046631319656))
