complexity	loss	equation	score	sympy_format	lambda_format
1	75354.43670159558	411.7969537163001	0.0	411.7969537163001	PySRFunction(X=>411.7969537163001)
3	23933.351920816152	x0 + -292.44447494172783	0.5734649202798385	x0 - 292.44447494172783	PySRFunction(X=>x0 - 292.44447494172783)
4	19573.575575108596	square(x0) * 0.0008320022937549201	0.20109249234747625	0.0008320022937549201*x0**2	PySRFunction(X=>0.0008320022937549201*x0**2)
5	17268.592108038476	x0 + (x1 * -24.220947267006434)	0.12529110524518164	x0 - 24.220947267006434*x1	PySRFunction(X=>x0 - 24.220947267006434*x1)
6	14777.147151731026	square(x1 + (x0 * -0.043232225225374246))	0.1558074903969193	(-0.043232225225374246*x0 + x1)**2	PySRFunction(X=>(-0.043232225225374246*x0 + x1)**2)
7	6430.206430068531	((x1 * -17922.295450103564) / x0) + x0	0.8320752340880387	x0 - 17922.295450103564*x1/x0	PySRFunction(X=>x0 - 17922.295450103564*x1/x0)
9	3218.671128176292	x0 + (x1 / ((x0 ^ 1.8189259594121248) / -3.66513058114089e6))	0.34601903034089954	-3665130.58114089*x1/x0**1.8189259594121248 + x0	PySRFunction(X=>-3665130.58114089*x1/x0**1.8189259594121248 + x0)
10	3014.7221478390748	x0 + ((x1 * (inv(x0) + -0.0006993493005821536)) * -34484.13971887444)	0.06546091193361205	x0 - 34484.13971887444*x1*(-0.0006993493005821536 + 1/x0)	PySRFunction(X=>x0 - 34484.13971887444*x1*(-0.0006993493005821536 + 1/x0))
11	2404.8672867053865	(x0 + (x1 / ((x0 ^ 1.6829860363788578) / -1.8884126635692231e6))) + 83.46180517333994	0.22601294953646672	-1888412.6635692231*x1/x0**1.6829860363788578 + x0 + 83.46180517333994	PySRFunction(X=>-1888412.6635692231*x1/x0**1.6829860363788578 + x0 + 83.46180517333994)
13	1438.8091845256322	(x0 + -47.984480077479546) + (cube(x1 + 6.643754211877821) * cube(-220.18322735030782 / x0))	0.2568394517553681	x0 - 47.984480077479546 - 10674626.775108907*(x1 + 6.643754211877821)**3/x0**3	PySRFunction(X=>x0 - 47.984480077479546 - 10674626.775108907*(x1 + 6.643754211877821)**3/x0**3)
15	1407.8484589156517	(x0 + ((cube(x1 + 4.808794378974132) + x0) * cube(-236.13342139994626 / x0))) + -38.1253585454975	0.010876596474438227	x0 - 38.1253585454975 - 13166561.720548425*(x0 + (x1 + 4.808794378974132)**3)/x0**3	PySRFunction(X=>x0 - 38.1253585454975 - 13166561.720548425*(x0 + (x1 + 4.808794378974132)**3)/x0**3)
17	1405.3197186648244	((cube(-240.91987537196067 / x0) * (cube(x1 + 4.681250406543483) + (x0 ^ 1.0480062798195877))) + x0) * 0.9642355143134296	0.0008988943327538269	0.9642355143134296*x0 - 13483449.493659648*(x0**1.0480062798195877 + (x1 + 4.681250406543483)**3)/x0**3	PySRFunction(X=>0.9642355143134296*x0 - 13483449.493659648*(x0**1.0480062798195877 + (x1 + 4.681250406543483)**3)/x0**3)
19	1405.3072027975868	((cube(-240.9148543344114 / x0) * ((cube(x1 + 4.678743329984257) + -4.124046450225921) + (x0 ^ 1.0494865292347546))) + x0) * 0.9644065291978585	4.453051787896083e-06	0.9644065291978585*x0 - 13484997.72922887*(x0**1.0494865292347546 + (x1 + 4.678743329984257)**3 - 4.124046450225921)/x0**3	PySRFunction(X=>0.9644065291978585*x0 - 13484997.72922887*(x0**1.0494865292347546 + (x1 + 4.678743329984257)**3 - 4.124046450225921)/x0**3)
20	1376.0269738269567	(x0 + (((x1 * -42.257307931490374) + -527.1647446736218) + x0)) * ((x1 * ((inv(x0) * 65.17564642642373) + -0.04312498944697701)) + 0.6521940906337176)	0.021055586172419347	(x1*(-0.04312498944697701 + 65.17564642642373/x0) + 0.6521940906337176)*(2*x0 - 42.257307931490374*x1 - 527.1647446736218)	PySRFunction(X=>(x1*(-0.04312498944697701 + 65.17564642642373/x0) + 0.6521940906337176)*(2*x0 - 42.257307931490374*x1 - 527.1647446736218))
