complexity	loss	equation	score	sympy_format	lambda_format
1	79086.04438984412	438.22450888110774	0.0	438.22450888110774	PySRFunction(X=>438.22450888110774)
3	21246.351156685272	x0 + -251.69549015071908	0.6571756294455362	x0 - 251.69549015071908	PySRFunction(X=>x0 - 251.69549015071908)
4	15580.170954091516	square(x0) * 0.000903255611708138	0.3101861573073649	0.000903255611708138*x0**2	PySRFunction(X=>0.000903255611708138*x0**2)
5	14428.468677158806	(x0 ^ 1.0523338064333432) + -534.7955740298577	0.07679576666997409	x0**1.0523338064333432 - 534.7955740298577	PySRFunction(X=>x0**1.0523338064333432 - 534.7955740298577)
6	13722.93641241952	(square(x0) * 0.0010655209187103755) + -100.52021055816152	0.05013462274890649	0.0010655209187103755*x0**2 - 100.52021055816152	PySRFunction(X=>0.0010655209187103755*x0**2 - 100.52021055816152)
7	5632.122329425052	(x1 * (-17168.96052917502 / x0)) + x0	0.8905822845833107	x0 - 17168.96052917502*x1/x0	PySRFunction(X=>x0 - 17168.96052917502*x1/x0)
8	5091.225774173138	(x1 * -18.978850350542523) + (square(x0) * 0.0012365447358253753)	0.10096771740009843	0.0012365447358253753*x0**2 - 18.978850350542523*x1	PySRFunction(X=>0.0012365447358253753*x0**2 - 18.978850350542523*x1)
9	1647.9853019489435	(x1 * ((-34814.32199619825 / x0) + 26.36595391540375)) + x0	1.1279651089160336	x0 + x1*(26.36595391540375 - 34814.32199619825/x0)	PySRFunction(X=>x0 + x1*(26.36595391540375 - 34814.32199619825/x0))
10	702.4462573052397	cube(((x1 * -211.89506266748057) + -1695.2997161914402) / x0) + x0	0.8527398954844727	x0 + (-211.89506266748057*x1 - 1695.2997161914402)**3/x0**3	PySRFunction(X=>x0 + (-211.89506266748057*x1 - 1695.2997161914402)**3/x0**3)
12	310.6330750242143	(cube(((x1 * -210.6348843040908) + -1554.3061187245848) / x0) + -37.573935976653246) + x0	0.40797825182903036	x0 - 37.573935976653246 + (-210.6348843040908*x1 - 1554.3061187245848)**3/x0**3	PySRFunction(X=>x0 - 37.573935976653246 + (-210.6348843040908*x1 - 1554.3061187245848)**3/x0**3)
14	276.3829682512486	((x0 * 1.0811465848005943) + -111.22699435205153) + cube(((x1 * -217.63127350315256) + -1369.8743966139623) / x0)	0.05841246125112047	1.0811465848005943*x0 - 111.22699435205153 + (-217.63127350315256*x1 - 1369.8743966139623)**3/x0**3	PySRFunction(X=>1.0811465848005943*x0 - 111.22699435205153 + (-217.63127350315256*x1 - 1369.8743966139623)**3/x0**3)
15	276.33269993517155	((cube((x1 * -217.98369437487523) + -1361.042433020924) / cube(x0)) + (x0 * 1.0843416520859532)) + -114.25497248977646	0.00018189575258687068	1.0843416520859532*x0 - 114.25497248977646 + (-217.98369437487523*x1 - 1361.042433020924)**3/x0**3	PySRFunction(X=>1.0843416520859532*x0 - 114.25497248977646 + (-217.98369437487523*x1 - 1361.042433020924)**3/x0**3)
16	274.9827774004898	((x0 * 1.0959711042635298) + -129.66563202189462) + cube(((x1 * -216.40743943287904) + -1195.8420144064323) / (x0 + -21.709913784896667))	0.004897106241185898	1.0959711042635298*x0 - 129.66563202189462 + (-216.40743943287904*x1 - 1195.8420144064323)**3/(x0 - 21.709913784896667)**3	PySRFunction(X=>1.0959711042635298*x0 - 129.66563202189462 + (-216.40743943287904*x1 - 1195.8420144064323)**3/(x0 - 21.709913784896667)**3)
18	260.350035686004	(x0 * 1.2328951031953455) + (cube(((-136.81856648333098 / ((x1 + -253.79152451419057) + x0)) + -0.1097659584930669) * x1) + -272.36097411378057)	0.027340725696276404	1.2328951031953455*x0 + x1**3*(-0.1097659584930669 - 136.81856648333098/(x0 + x1 - 253.79152451419057))**3 - 272.36097411378057	PySRFunction(X=>1.2328951031953455*x0 + x1**3*(-0.1097659584930669 - 136.81856648333098/(x0 + x1 - 253.79152451419057))**3 - 272.36097411378057)
20	238.65051481413448	square((((cube((inv(x0 / x1) * -196.04722884624587) + -3.8661486359937163) + (x0 * 2.0045102232825953)) + -486.4166298610988) ^ 0.4587071012026515) + 3.4539448071718453)	0.04351340801778003	((2.0045102232825953*x0 + (-3.8661486359937163 - 196.04722884624587*x1/x0)**3 - 486.4166298610988)**0.4587071012026515 + 3.4539448071718453)**2	PySRFunction(X=>((2.0045102232825953*x0 + (-3.8661486359937163 - 196.04722884624587*x1/x0)**3 - 486.4166298610988)**0.4587071012026515 + 3.4539448071718453)**2)
22	225.53663156639635	square(((cube((inv(x0 / x1) * -207.42461303895632) + -4.602237400634491) + ((x0 * 2.670131273128757) + -607.8771690593445)) ^ 0.4404619356123786) + 3.931800809256202) + -26.479505847591085	0.028258804461076578	((2.670131273128757*x0 + (-4.602237400634491 - 207.42461303895632*x1/x0)**3 - 607.8771690593445)**0.4404619356123786 + 3.931800809256202)**2 - 26.479505847591085	PySRFunction(X=>((2.670131273128757*x0 + (-4.602237400634491 - 207.42461303895632*x1/x0)**3 - 607.8771690593445)**0.4404619356123786 + 3.931800809256202)**2 - 26.479505847591085)
