7.570000000000000000e+02 1.800000000000000000e+01 3.751363954489515891e+02
9.730000000000000000e+02 1.800000000000000000e+01 7.624201772587872483e+02
7.600000000000000000e+02 1.800000000000000000e+01 3.816325362102035115e+02
6.570000000000000000e+02 1.800000000000000000e+01 7.293991003942520024e+01
7.040000000000000000e+02 1.800000000000000000e+01 2.467784263404730325e+02
7.720000000000000000e+02 1.800000000000000000e+01 4.070546244432738945e+02
6.700000000000000000e+02 1.800000000000000000e+01 1.359872415572026796e+02
6.550000000000000000e+02 1.800000000000000000e+01 5.977923812629936151e+01
6.900000000000000000e+02 1.800000000000000000e+01 2.058871549824696672e+02
9.620000000000000000e+02 1.800000000000000000e+01 7.449564410972642463e+02
9.650000000000000000e+02 1.800000000000000000e+01 7.497335754399547341e+02
8.410000000000000000e+02 1.800000000000000000e+01 5.404772785641421251e+02
8.020000000000000000e+02 1.800000000000000000e+01 4.673362963838331439e+02
8.470000000000000000e+02 1.800000000000000000e+01 5.513200815994850927e+02
6.600000000000000000e+02 1.800000000000000000e+01 9.009233711316090876e+01
6.650000000000000000e+02 1.800000000000000000e+01 1.145965484457330348e+02
6.510000000000000000e+02 1.800000000000000000e+01 2.311867175590092671e+01
7.220000000000000000e+02 1.800000000000000000e+01 2.939693481732808777e+02
7.320000000000000000e+02 1.800000000000000000e+01 3.183357285812676309e+02
6.530000000000000000e+02 1.800000000000000000e+01 4.420770564080696374e+01
7.120000000000000000e+02 1.800000000000000000e+01 2.683623949442272760e+02
6.510000000000000000e+02 1.800000000000000000e+01 2.311867175590092671e+01
7.370000000000000000e+02 1.800000000000000000e+01 3.301252392663644741e+02
7.850000000000000000e+02 1.800000000000000000e+01 4.336947166002848917e+02
7.980000000000000000e+02 1.800000000000000000e+01 4.595310561881989315e+02
6.660000000000000000e+02 1.800000000000000000e+01 1.190775067230676427e+02
6.500000000000000000e+02 1.800000000000000000e+01 0.000000000000000000e+00
6.510000000000000000e+02 1.800000000000000000e+01 2.311867175590092671e+01
9.040000000000000000e+02 1.800000000000000000e+01 6.501922413838220791e+02
6.780000000000000000e+02 1.800000000000000000e+01 1.662322958066332603e+02
