complexity	loss	equation	score	sympy_format	lambda_format
1	77717.28728641904	421.67050292748604	0.0	421.67050292748604	PySRFunction(X=>421.67050292748604)
3	25293.06157435992	x0 + -275.55949701080345	0.5612738040885971	x0 - 275.55949701080345	PySRFunction(X=>x0 - 275.55949701080345)
4	19995.2718972806	cube(x0) * 1.015776118900509e-6	0.235034271578491	1.015776118900509e-6*x0**3	PySRFunction(X=>1.015776118900509e-6*x0**3)
5	16397.150394829965	x0 + (x1 * -24.46612687027169)	0.1983882771499706	x0 - 24.46612687027169*x1	PySRFunction(X=>x0 - 24.46612687027169*x1)
6	16143.861809636715	square(x1 + (x0 * -0.04245457302301969))	0.015567659604308497	(-0.04245457302301969*x0 + x1)**2	PySRFunction(X=>(-0.04245457302301969*x0 + x1)**2)
7	13575.321002031287	square((x0 * -0.03342853257021947) + sqrt(x1))	0.173286391616745	(-0.03342853257021947*x0 + sqrt(x1))**2	PySRFunction(X=>(-0.03342853257021947*x0 + sqrt(x1))**2)
8	5111.462524898727	(x0 * 1.652015511380453) + (log1p(x1) * -306.6102277105778)	0.97676794043804	1.652015511380453*x0 - 306.6102277105778*log(x1 + 1)	PySRFunction(X=>1.652015511380453*x0 - 306.6102277105778*log(x1 + 1))
9	3604.654006101437	x0 + (((x0 * 0.06835018408786435) + -75.18034290274447) * x1)	0.34925978164605376	x0 + x1*(0.06835018408786435*x0 - 75.18034290274447)	PySRFunction(X=>x0 + x1*(0.06835018408786435*x0 - 75.18034290274447))
10	3034.367954009029	((log1p(x1) * 0.7494170706868974) * x0) + (x1 * -77.31578852140778)	0.17222263957670406	0.7494170706868974*x0*log(x1 + 1) - 77.31578852140778*x1	PySRFunction(X=>0.7494170706868974*x0*log(x1 + 1) - 77.31578852140778*x1)
11	2385.855713858843	((((x1 * -20.471310271284427) + x0) + -277.0410597473454) * 37.060936160132485) ^ 0.6895632218920377	0.24044530056957056	(37.060936160132485*x0 - 758.68592307833657*x1 - 10267.401029031817)**0.6895632218920377	PySRFunction(X=>(37.060936160132485*x0 - 758.68592307833657*x1 - 10267.401029031817)**0.6895632218920377)
13	1519.8655424343456	((x0 + ((x1 * -20.900877095064732) + -273.7825463552871)) * (x1 + 34.45180849864399)) ^ 0.6778660152879092	0.22546798892391925	((x1 + 34.45180849864399)*(x0 - 20.900877095064732*x1 - 273.7825463552871))**0.6778660152879092	PySRFunction(X=>((x1 + 34.45180849864399)*(x0 - 20.900877095064732*x1 - 273.7825463552871))**0.6778660152879092)
15	1433.853438092338	(((x1 + 34.36269441809845) * ((x0 + (x1 * -21.203710753147416)) + -268.3316091342761)) ^ 0.7296076079870901) * 0.6054211892399414	0.029128170011536742	0.6054211892399414*((x1 + 34.36269441809845)*(x0 - 21.203710753147416*x1 - 268.3316091342761))**0.7296076079870901	PySRFunction(X=>0.6054211892399414*((x1 + 34.36269441809845)*(x0 - 21.203710753147416*x1 - 268.3316091342761))**0.7296076079870901)
16	1391.578251210321	(((inv((x0 + -108.94195748370655) + (x1 * -17.122295370903654)) * x0) * -388.0106087879261) + x0) + 446.04985357126	0.029926996445595506	x0 - 388.0106087879261*x0/(x0 - 17.122295370903654*x1 - 108.94195748370655) + 446.04985357126	PySRFunction(X=>x0 - 388.0106087879261*x0/(x0 - 17.122295370903654*x1 - 108.94195748370655) + 446.04985357126)
18	1389.6926391526288	(((inv((x1 * -16.913895478740226) + (x0 + -116.78820396280621)) * (x0 ^ 1.0291155175459867)) * -315.74993162188855) + 445.9803415875314) + x0	0.000677967886237569	x0 - 315.74993162188855*x0**1.0291155175459867/(x0 - 16.913895478740226*x1 - 116.78820396280621) + 445.9803415875314	PySRFunction(X=>x0 - 315.74993162188855*x0**1.0291155175459867/(x0 - 16.913895478740226*x1 - 116.78820396280621) + 445.9803415875314)
20	1389.246029311949	(x0 + -35.19058364546596) + (((inv((x0 + (x1 * -16.807496810101988)) + -119.88912007430474) * -284.3734284439081) * (x0 ^ 1.044857249551126)) + 483.78421959741627)	0.00016071237900744102	x0 - 284.3734284439081*x0**1.044857249551126/(x0 - 16.807496810101988*x1 - 119.88912007430474) + 448.59363595195031	PySRFunction(X=>x0 - 284.3734284439081*x0**1.044857249551126/(x0 - 16.807496810101988*x1 - 119.88912007430474) + 448.59363595195031)
21	1376.68882134397	(((x0 + (-268.067695144545 + (x1 * -21.21839084905113))) * (x1 + 34.31203863874191)) ^ 0.7333912120094735) * (((-0.3456756059889557 ^ x1) * -1.4108483865078276) + 0.5877599792846215)	0.009079963860256399	((x1 + 34.31203863874191)*(x0 - 21.21839084905113*x1 - 268.067695144545))**0.7333912120094735*(1.4108483865078276*0.3456756059889557**x1 + 0.5877599792846215)	PySRFunction(X=>((x1 + 34.31203863874191)*(x0 - 21.21839084905113*x1 - 268.067695144545))**0.7333912120094735*(1.4108483865078276*0.3456756059889557**x1 + 0.5877599792846215))
22	1313.187033084762	(((x0 ^ 1.0703016574709543) * inv((x0 + -107.54691203556902) + (x1 * -16.307738821565607))) * -295.6559366742875) + (x0 + ((-206.48893100332654 / x1) + 588.9050977842177))	0.047224178852906105	x0 - 295.6559366742875*x0**1.0703016574709543/(x0 - 16.307738821565607*x1 - 107.54691203556902) + 588.9050977842177 - 206.48893100332654/x1	PySRFunction(X=>x0 - 295.6559366742875*x0**1.0703016574709543/(x0 - 16.307738821565607*x1 - 107.54691203556902) + 588.9050977842177 - 206.48893100332654/x1)
23	625.3528029863062	x0 + (((inv(x1 + -15.964823454626744) + (x0 ^ 0.8242594164761834)) * (inv((x1 * -18.560116127438313) + (x0 + -80.56999832079596)) * -1076.2493356467962)) + 354.1098099542595)	0.7418963360376164	x0 - 1076.2493356467962*(x0**0.8242594164761834 + 1/(x1 - 15.964823454626744))/(x0 - 18.560116127438313*x1 - 80.56999832079596) + 354.1098099542595	PySRFunction(X=>x0 - 1076.2493356467962*(x0**0.8242594164761834 + 1/(x1 - 15.964823454626744))/(x0 - 18.560116127438313*x1 - 80.56999832079596) + 354.1098099542595)
