complexity	loss	equation	score	sympy_format	lambda_format
1	75641.59715710995	415.69019370457124	0.0	415.69019370457124	PySRFunction(X=>415.69019370457124)
3	25016.59131739012	x0 + -281.79694916086606	0.5532335506841527	x0 - 281.79694916086606	PySRFunction(X=>x0 - 281.79694916086606)
4	19463.811250440984	cube(x0) * 1.0089595891655778e-6	0.25098234937693426	1.0089595891655778e-6*x0**3	PySRFunction(X=>1.0089595891655778e-6*x0**3)
5	16430.531656779895	x0 + (x1 * -24.3836980775398)	0.16941561763794652	x0 - 24.3836980775398*x1	PySRFunction(X=>x0 - 24.3836980775398*x1)
7	6022.281637457596	x0 + ((x1 * -18052.72558796617) / x0)	0.5018375466848258	x0 - 18052.72558796617*x1/x0	PySRFunction(X=>x0 - 18052.72558796617*x1/x0)
8	3477.979848247671	x0 + ((x1 * -1.1747877060468746e7) / square(x0))	0.5490145752072499	x0 - 11747877.060468746*x1/x0**2	PySRFunction(X=>x0 - 11747877.060468746*x1/x0**2)
9	2915.924767800162	x0 + (x1 * ((-34067.73853472029 / x0) + 23.329188576811156))	0.17626460783254808	x0 + x1*(23.329188576811156 - 34067.73853472029/x0)	PySRFunction(X=>x0 + x1*(23.329188576811156 - 34067.73853472029/x0))
10	2915.9247678001616	((inv(x0 / -34067.73853530707) + 23.329188577630873) * x1) + x0	1.1102230246251565e-16	x0 + x1*(23.329188577630873 - 34067.73853530707/x0)	PySRFunction(X=>x0 + x1*(23.329188577630873 - 34067.73853530707/x0))
11	2465.504928220099	(((x1 ^ 0.25278542662990666) * x0) + -174.72351991914903) + (x1 * -60.87618208952344)	0.16779038846688227	x0*x1**0.25278542662990666 - 60.87618208952344*x1 - 174.72351991914903	PySRFunction(X=>x0*x1**0.25278542662990666 - 60.87618208952344*x1 - 174.72351991914903)
12	2378.577502061118	(((inv(x0 / -37025.07896013169) + 22.72799580183761) * x1) + 62.997253788937186) + x0	0.03589400476555753	x0 + x1*(22.72799580183761 - 37025.07896013169/x0) + 62.997253788937186	PySRFunction(X=>x0 + x1*(22.72799580183761 - 37025.07896013169/x0) + 62.997253788937186)
13	2182.214314684148	(x1 * ((x1 + 40.1334200491478) * ((-688.1845672653274 / x0) + 0.5121086980150505))) + x0	0.08616251882067688	x0 + x1*(0.5121086980150505 - 688.1845672653274/x0)*(x1 + 40.1334200491478)	PySRFunction(X=>x0 + x1*(0.5121086980150505 - 688.1845672653274/x0)*(x1 + 40.1334200491478))
14	1949.1455282309737	(x1 + 9.82096747091166) * ((x0 * (5.149337015229913 / (x1 + sqrt(x0)))) + -74.66231975257921)	0.11294901607499687	(x1 + 9.82096747091166)*(5.149337015229913*x0/(sqrt(x0) + x1) - 74.66231975257921)	PySRFunction(X=>(x1 + 9.82096747091166)*(5.149337015229913*x0/(sqrt(x0) + x1) - 74.66231975257921))
16	1515.1425147003	((x1 * (1.046194807457244 ^ x1)) * ((-235.03502097327237 / (sqrt(x0) + -16.069103768163803)) + 9.89059238130699)) + x0	0.1259407911225372	1.046194807457244**x1*x1*(9.89059238130699 - 235.03502097327237/(sqrt(x0) - 16.069103768163803)) + x0	PySRFunction(X=>1.046194807457244**x1*x1*(9.89059238130699 - 235.03502097327237/(sqrt(x0) - 16.069103768163803)) + x0)
18	1454.960858467293	((x1 * (((1.0296831081027562 ^ x1) * (-434.32862288766535 / (sqrt(x0) + -14.81610957847051))) + 34.84859295110455)) + x0) * 0.9250175642888726	0.020265252390831406	0.9250175642888726*x0 + 0.9250175642888726*x1*(-434.32862288766535*1.0296831081027562**x1/(sqrt(x0) - 14.81610957847051) + 34.84859295110455)	PySRFunction(X=>0.9250175642888726*x0 + 0.9250175642888726*x1*(-434.32862288766535*1.0296831081027562**x1/(sqrt(x0) - 14.81610957847051) + 34.84859295110455))
20	1428.2588142536272	x0 + ((-185.92654969611843 / x1) + (x1 * (((1.0287037009053814 ^ x1) * (-394.6248949662758 / (sqrt(x0) + -14.505935053510052))) + 26.384320821264016)))	0.009261454447534451	x0 + x1*(-394.6248949662758*1.0287037009053814**x1/(sqrt(x0) - 14.505935053510052) + 26.384320821264016) - 185.92654969611843/x1	PySRFunction(X=>x0 + x1*(-394.6248949662758*1.0287037009053814**x1/(sqrt(x0) - 14.505935053510052) + 26.384320821264016) - 185.92654969611843/x1)
22	1275.556247858833	((-47.60345954577387 / (x1 + -15.413002365472984)) + 29.45649452629594) + (x0 + ((((-364.4591962634695 / (sqrt(x0) + -9.875024816595197)) * 2.954514648609058) + 37.63230206085197) * x1))	0.05653686683398138	x0 + x1*(37.63230206085197 - 1076.800034180704/(sqrt(x0) - 9.875024816595197)) + 29.45649452629594 - 47.60345954577387/(x1 - 15.413002365472984)	PySRFunction(X=>x0 + x1*(37.63230206085197 - 1076.800034180704/(sqrt(x0) - 9.875024816595197)) + 29.45649452629594 - 47.60345954577387/(x1 - 15.413002365472984))
24	560.9815217869887	(24.162262550879017 / (x1 + -16.256641468842986)) + ((x0 + ((((1.0342235702282578 ^ x1) * (-360.4095016542571 / (sqrt(x0) + -14.695392338861241))) + 32.59367107631083) * x1)) + -76.62750759026979)	0.41072483414727073	x0 + x1*(-360.4095016542571*1.0342235702282578**x1/(sqrt(x0) - 14.695392338861241) + 32.59367107631083) - 76.62750759026979 + 24.162262550879017/(x1 - 16.256641468842986)	PySRFunction(X=>x0 + x1*(-360.4095016542571*1.0342235702282578**x1/(sqrt(x0) - 14.695392338861241) + 32.59367107631083) - 76.62750759026979 + 24.162262550879017/(x1 - 16.256641468842986))
