complexity	loss	equation	score	sympy_format	lambda_format
1	74808.31432912347	421.0957265035191	0.0	421.0957265035191	PySRFunction(X=>421.0957265035191)
3	24510.45689893106	x0 + -290.28998804580084	0.5579145971212025	x0 - 290.28998804580084	PySRFunction(X=>x0 - 290.28998804580084)
4	17318.912039203515	cube(x0) * 1.0008789603210053e-6	0.34730075282068495	1.0008789603210053e-6*x0**3	PySRFunction(X=>1.0008789603210053e-6*x0**3)
5	16475.92421476552	(x1 / -0.04163442126351712) + x0	0.04989890904462767	x0 - 24.01858773707195*x1	PySRFunction(X=>x0 - 24.01858773707195*x1)
7	6160.847340650299	x0 + ((x1 / x0) * -17704.374067716017)	0.49184292672113955	x0 - 17704.374067716017*x1/x0	PySRFunction(X=>x0 - 17704.374067716017*x1/x0)
8	3756.694870149202	x0 + (x1 * (-1.1584022108822908e7 / square(x0)))	0.49467477644868146	x0 - 11584022.108822908*x1/x0**2	PySRFunction(X=>x0 - 11584022.108822908*x1/x0**2)
9	2183.8349915043214	(x0 * 1.2096618277255398) + ((x1 * -25389.28257744158) / x0)	0.5424570452494084	1.2096618277255398*x0 - 25389.28257744158*x1/x0	PySRFunction(X=>1.2096618277255398*x0 - 25389.28257744158*x1/x0)
11	1755.8777924922913	x0 + ((x1 / ((x0 + -199.0408209915172) * -5.5938017240840305e-5)) + 154.4708841258304)	0.10905680157469895	x0 + x1/(0.011133948876254498 - 5.5938017240840305e-5*x0) + 154.4708841258304	PySRFunction(X=>x0 + x1/(0.011133948876254498 - 5.5938017240840305e-5*x0) + 154.4708841258304)
13	1382.6972517522545	x0 + (x1 / (((x1 + 14.493273022608651) + (x0 * -0.07089557849314387)) * 0.0020761544608289637))	0.11946638836154583	x0 + x1/(-0.00014719017154159059*x0 + 0.0020761544608289637*x1 + 0.030090273437901029)	PySRFunction(X=>x0 + x1/(-0.00014719017154159059*x0 + 0.0020761544608289637*x1 + 0.030090273437901029))
14	1381.9385278369327	x0 + (x1 / (log1p(((x0 * -0.07393643431418852) + x1) * 0.0018224248951987346) + 0.027709544925480396))	0.000548878040262322	x0 + x1/(log(-0.00013474359855640314*x0 + 0.0018224248951987346*x1 + 1) + 0.027709544925480396)	PySRFunction(X=>x0 + x1/(log(-0.00013474359855640314*x0 + 0.0018224248951987346*x1 + 1) + 0.027709544925480396))
15	1293.1912047613876	((x1 / ((x1 + ((x0 * -0.08127424097734696) + 15.209708696931362)) * 0.0014697115915393438)) + x0) / 0.95684170406221	0.06637427807245894	1.04510494866033*x0 + 1.04510494866033*x1/(-0.00011944969405796875*x0 + 0.0014697115915393438*x1 + 0.022353885175816791)	PySRFunction(X=>1.04510494866033*x0 + 1.04510494866033*x1/(-0.00011944969405796875*x0 + 0.0014697115915393438*x1 + 0.022353885175816791))
17	1283.3751641106612	x0 + (((x1 + 3.108828971371836) / (((x0 * -0.06994604467024908) + (x1 + 9.669691982608688)) * 0.0016950232064131476)) + 72.21325193999215)	0.0038097555956845028	x0 + (x1 + 3.108828971371836)/(-0.00011856016891288285*x0 + 0.0016950232064131476*x1 + 0.016390352309388885) + 72.21325193999215	PySRFunction(X=>x0 + (x1 + 3.108828971371836)/(-0.00011856016891288285*x0 + 0.0016950232064131476*x1 + 0.016390352309388885) + 72.21325193999215)
19	1282.4082509636444	(x1 / ((14.055160870691582 + (x1 + (x0 * -0.08177661840091108))) * 0.0012763794428832052)) + (x0 / (square(inv(x1)) + 0.9325380189618073))	0.00037684910858348656	x0/(0.9325380189618073 + x1**(-2)) + x1/(-0.00010437799463542735*x0 + 0.0012763794428832052*x1 + 0.017939718401767147)	PySRFunction(X=>x0/(0.9325380189618073 + x1**(-2)) + x1/(-0.00010437799463542735*x0 + 0.0012763794428832052*x1 + 0.017939718401767147))
20	1262.8114667067048	(x1 / ((((x0 * -0.0826810986927901) + x1) + 14.335444750565841) * 0.0012616399253353118)) + (x0 / (inv(1.8460864255433966 ^ x1) + 0.9377777432656895))	0.01539919825137958	x0/(0.9377777432656895 + 1.8460864255433966**(-x1)) + x1/(-0.00010431377518141324*x0 + 0.0012616399253353118*x1 + 0.018086169444752375)	PySRFunction(X=>x0/(0.9377777432656895 + 1.8460864255433966**(-x1)) + x1/(-0.00010431377518141324*x0 + 0.0012616399253353118*x1 + 0.018086169444752375))
21	1255.3345968744663	(x1 / (((x0 * -0.08322564146550918) + (x1 + 14.400531279371137)) * 0.0012445451456893181)) + (x0 / (inv(log(x1) ^ x1) + 0.9370606377318833))	0.005938409938035458	x0/(0.9370606377318833 + log(x1)**(-x1)) + x1/(-0.00010357806808277908*x0 + 0.0012445451456893181*x1 + 0.017922111299088534)	PySRFunction(X=>x0/(0.9370606377318833 + log(x1)**(-x1)) + x1/(-0.00010357806808277908*x0 + 0.0012445451456893181*x1 + 0.017922111299088534))
23	1251.725621438672	((x0 + 14.12745339701469) / (inv(log(x1) ^ x1) + 0.9507216523406172)) + (x1 / ((((-0.08440384253175143 * x0) + x1) + 14.932633782857938) * 0.0012223000376451359))	0.0014395258248338066	x1/(-0.0001031668199039539*x0 + 0.0012223000376451359*x1 + 0.018252158834928286) + (x0 + 14.12745339701469)/(0.9507216523406172 + log(x1)**(-x1))	PySRFunction(X=>x1/(-0.0001031668199039539*x0 + 0.0012223000376451359*x1 + 0.018252158834928286) + (x0 + 14.12745339701469)/(0.9507216523406172 + log(x1)**(-x1)))
24	910.441312048452	(((x1 ^ 0.7571371374904332) + ((x1 / ((x1 + ((x0 * -0.06878754949390051) + 12.401038629271817)) * 0.0019128364453480883)) + inv(x1 + -16.01731798526328))) + x0) + 1.0768995770109093	0.31834893518552837	x0 + x1**0.7571371374904332 + x1/(-0.00013157933165811834*x0 + 0.0019128364453480883*x1 + 0.023721158650240632) + 1.0768995770109093 + 1/(x1 - 16.01731798526328)	PySRFunction(X=>x0 + x1**0.7571371374904332 + x1/(-0.00013157933165811834*x0 + 0.0019128364453480883*x1 + 0.023721158650240632) + 1.0768995770109093 + 1/(x1 - 16.01731798526328))
28	499.2043905649061	(((x1 ^ 1.5068584514228827) + x0) + (x1 / ((x1 + ((x0 * -0.0800878641154175) + 14.093641538818627)) * 0.0013281437063390731))) / (inv(((x1 / 33.18003051399611) + -0.4771284287183489) * x0) + 0.9756607689044531)	0.15022845700823811	(x0 + x1/(-0.00010636819267903066*x0 + 0.0013281437063390731*x1 + 0.018718381309180889) + x1**1.5068584514228827)/(0.9756607689044531 + 1/(x0*(0.03013861001659347*x1 - 0.4771284287183489)))	PySRFunction(X=>(x0 + x1/(-0.00010636819267903066*x0 + 0.0013281437063390731*x1 + 0.018718381309180889) + x1**1.5068584514228827)/(0.9756607689044531 + 1/(x0*(0.03013861001659347*x1 - 0.4771284287183489))))
30	493.41841528138	(((x1 / ((((x0 * -0.07983205457414748) + x1) + 14.300040198368336) * 0.0013666848825425132)) + ((x1 ^ 1.4867204518128274) + x0)) / (inv(((x1 / 32.81306923277451) + -0.48247093215321896) * x0) + 0.9724119407918692)) + -3.636942904667844	0.005829042795262996	-3.636942904667844 + (x0 + x1/(-0.00010910526212879625*x0 + 0.0013666848825425132*x1 + 0.019543648758860246) + x1**1.4867204518128274)/(0.9724119407918692 + 1/(x0*(0.03047566178299393*x1 - 0.48247093215321896)))	PySRFunction(X=>-3.636942904667844 + (x0 + x1/(-0.00010910526212879625*x0 + 0.0013666848825425132*x1 + 0.019543648758860246) + x1**1.4867204518128274)/(0.9724119407918692 + 1/(x0*(0.03047566178299393*x1 - 0.48247093215321896))))
